Unnamed: 0,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,5,6,10,16,19,12,15,12,12,13,16,20
Inventory Days,66,90,84,83,63,67,102,83,87,95,85,88
Days Payable,74,117,132,146,100,87,136,123,91,111,108,84
Cash Conversion Cycle,-2,-21,-38,-46,-18,-9,-19,-27,7,-3,-8,24
Working Capital Days,-64,-148,-179,-179,-108,-158,-58,-56,-66,-53,-68,-32
ROCE %,9%,10%,10%,11%,12%,11%,8%,8%,9%,10%,10%,10%
